Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.3.1.0-40-ce2be3b
Validator,HIPBLASLT_VERSION,1000-b4e5042b
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmTunableOp_Half_TN,tn_3584_16_9472,Gemm_Rocblas_621288693,0.0256886
GemmTunableOp_Half_TN,tn_3584_176_1792,Gemm_Rocblas_621289097,0.0219201
GemmTunableOp_Half_TN,tn_3584_176_9472,Gemm_Hipblaslt_TN_72488,0.0709629
GemmTunableOp_Half_TN,tn_3584_192_1792,Gemm_Rocblas_621289097,0.0211718
GemmTunableOp_Half_TN,tn_3584_200_9472,Gemm_Hipblaslt_TN_72277,0.0796327
GemmTunableOp_Half_TN,tn_3584_56_9472,Gemm_Hipblaslt_TN_71770,0.0404355
GemmTunableOp_Half_TN,tn_3584_216_1792,Gemm_Rocblas_621282647,0.0256084
GemmTunableOp_Half_TN,tn_3584_232_9472,Gemm_Hipblaslt_TN_72369,0.0865839
GemmTunableOp_Half_TN,tn_18944_88_3584,Gemm_Hipblaslt_TN_74606,0.0773313
GemmTunableOp_Half_TN,tn_3584_131008_9472,Gemm_Rocblas_621282466,34.5258
GemmTunableOp_Half_TN,tn_18944_8_3584,Gemm_Rocblas_621282480,0.0390004
GemmTunableOp_Half_TN,tn_2304_131008_3584,Gemm_Rocblas_621282559,8.36796
GemmTunableOp_Half_TN,tn_18944_56_3584,Gemm_Rocblas_621282665,0.0559914
GemmTunableOp_Half_TN,tn_18944_48_3584,Gemm_Hipblaslt_TN_74377,0.0525651
GemmTunableOp_Half_TN,tn_18944_32_3584,Gemm_Rocblas_621282627,0.0451376
GemmTunableOp_Half_TN,tn_18944_40_3584,Gemm_Hipblaslt_TN_87478,0.0527518
GemmTunableOp_Half_TN,tn_18944_192_3584,Gemm_Rocblas_621289105,0.106057
GemmTunableOp_Half_TN,tn_18944_160_3584,Gemm_Rocblas_621282746,0.0973509
GemmTunableOp_Half_TN,tn_18944_224_3584,Gemm_Rocblas_621288659,0.12699
